"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","cashier_1","conscious_1","soul_1","susp","what","exclude","Block8_DO_cashier","Block8_DO_conscious","Block8_DO_soul","I","P","H"
"2022-04-20 16:07","2022-04-20 16:08",0,100,50,1,"2022-04-20 16:08","R_2q1VhpHfw0rNe0W",NA,NA,NA,NA,"anonymous","EN",2,1,0,1,"That it was a picture of a person.  Not a robot ",1,2,3,4,NA,1,NA
"2022-04-20 17:02","2022-04-20 17:03",0,100,68,1,"2022-04-20 17:03","R_238XFNazqolPD9k",NA,NA,NA,NA,"anonymous","EN",3,3,2,1,"I thought that the humanoid robot looked like a real person",1,2,3,4,NA,1,NA
"2022-04-20 17:06","2022-04-20 17:07",0,100,68,1,"2022-04-20 17:07","R_25yJJlBJ5ueCZi2",NA,NA,NA,NA,"anonymous","EN",8,5,0,1,"That looked like a human.  It was hard to imagine that photo as not being a human.",1,2,3,4,NA,1,NA
"2022-04-20 17:15","2022-04-20 17:17",0,100,121,1,"2022-04-20 17:17","R_26bhP5nrqU4lw8r",NA,NA,NA,NA,"anonymous","EN",5,0,0,1,"That was a real person. And no fake person will work in a pharmacy. ",1,2,3,4,NA,1,NA
"2022-04-20 17:27","2022-04-20 17:27",0,100,39,1,"2022-04-20 17:27","R_w1X77McFHLWJdvP",NA,NA,NA,NA,"anonymous","EN",1,1,0,1,"It seems totally fake ",1,2,3,4,1,NA,NA
"2022-04-20 15:18","2022-04-20 15:19",0,100,64,1,"2022-04-20 15:19","R_UhUkKhp8Ti6q9SV",NA,NA,NA,NA,"anonymous","EN",4,4,1,2,"",0,2,3,4,NA,1,NA
"2022-04-20 15:21","2022-04-20 15:22",0,100,34,1,"2022-04-20 15:22","R_1hJZX7fR7b26C0S",NA,NA,NA,NA,"anonymous","EN",10,10,10,1,"asking if people have souls..?",0,2,3,4,NA,NA,1
"2022-04-20 15:24","2022-04-20 15:24",0,100,21,1,"2022-04-20 15:24","R_6f0WQiFf835WqHf",NA,NA,NA,NA,"anonymous","EN",4,0,0,2,"",0,2,3,4,1,NA,NA
"2022-04-20 15:27","2022-04-20 15:28",0,100,52,1,"2022-04-20 15:28","R_2Ys8KkzwUBJCe0Z",NA,NA,NA,NA,"anonymous","EN",3,0,0,2,"",0,2,3,4,1,NA,NA
"2022-04-20 15:29","2022-04-20 15:29",0,100,22,1,"2022-04-20 15:29","R_1HkmGbKGpMJmDVL",NA,NA,NA,NA,"anonymous","EN",3,8,1,2,"",0,2,3,4,NA,1,NA
"2022-04-20 15:28","2022-04-20 15:30",0,100,141,1,"2022-04-20 15:30","R_R2jKLJS576sbkdz",NA,NA,NA,NA,"anonymous","EN",10,10,5,1,"the final two questions were phrased strangely, ""do you believe this has..."" There was no indication of what ""this"" is though the assumption I made was the image of the pharmacy worker.",0,2,3,4,NA,NA,1
"2022-04-20 15:32","2022-04-20 15:32",0,100,39,1,"2022-04-20 15:32","R_2SubZbVa6YFlHw0",NA,NA,NA,NA,"anonymous","EN",8,10,10,2,"",0,2,3,4,NA,1,NA
"2022-04-20 15:33","2022-04-20 15:34",0,100,27,1,"2022-04-20 15:34","R_27lq7jmaL7K9yFR",NA,NA,NA,NA,"anonymous","EN",4,3,0,2,"",0,2,3,4,1,NA,NA
"2022-04-20 15:40","2022-04-20 15:40",0,100,23,1,"2022-04-20 15:40","R_3myy9Oy2lPuAwut",NA,NA,NA,NA,"anonymous","EN",10,8,10,2,"",0,2,3,4,NA,NA,1
"2022-04-20 15:40","2022-04-20 15:40",0,100,26,1,"2022-04-20 15:40","R_1DMWIjxNedGZQrI",NA,NA,NA,NA,"anonymous","EN",8,5,1,2,"",0,2,3,4,NA,1,NA
"2022-04-20 15:42","2022-04-20 15:43",0,100,32,1,"2022-04-20 15:43","R_b78AZa8UDEnP23D",NA,NA,NA,NA,"anonymous","EN",10,10,10,2,"",0,2,3,4,NA,NA,1
"2022-04-20 15:42","2022-04-20 15:43",0,100,51,1,"2022-04-20 15:43","R_2Cmh1NqRiC0eP76",NA,NA,NA,NA,"anonymous","EN",8,9,9,2,"",0,2,3,4,NA,1,NA
"2022-04-20 15:46","2022-04-20 15:47",0,100,59,1,"2022-04-20 15:47","R_1Pd7ZanRpwNgFed",NA,NA,NA,NA,"anonymous","EN",5,2,1,2,"",0,2,3,4,NA,1,NA
"2022-04-20 15:48","2022-04-20 15:49",0,100,49,1,"2022-04-20 15:49","R_2do6XpUSEhBjiuU",NA,NA,NA,NA,"anonymous","EN",8,0,0,2,"",0,2,3,4,NA,1,NA
"2022-04-20 15:49","2022-04-20 15:50",0,100,42,1,"2022-04-20 15:50","R_3PnwtROyIWuuM71",NA,NA,NA,NA,"anonymous","EN",7,8,8,1,"It made me think the picture was of an AI robot or something since it asked about consciousness and having a soul",0,2,3,4,NA,NA,1
"2022-04-20 15:49","2022-04-20 15:50",0,100,74,1,"2022-04-20 15:50","R_1FDPP0wSGXMnLzO",NA,NA,NA,NA,"anonymous","EN",6,0,0,2,"",0,2,3,4,NA,1,NA
"2022-04-20 15:50","2022-04-20 15:51",0,100,27,1,"2022-04-20 15:51","R_Rhnpq4uGY1lipqN",NA,NA,NA,NA,"anonymous","EN",5,0,0,2,"",0,2,3,4,NA,1,NA
"2022-04-20 15:50","2022-04-20 15:51",0,100,51,1,"2022-04-20 15:51","R_2YJM6Q8r3UxdRgb",NA,NA,NA,NA,"anonymous","EN",7,2,0,2,"",0,2,3,4,NA,1,NA
"2022-04-20 15:51","2022-04-20 15:52",0,100,55,1,"2022-04-20 15:52","R_xDwYSAKgN8EDgA1",NA,NA,NA,NA,"anonymous","EN",4,1,NA,1,"If it is a humanoid, questions regarding a soul are not applicable",0,2,3,4,1,NA,NA
"2022-04-20 15:52","2022-04-20 15:53",0,100,45,1,"2022-04-20 15:53","R_12fgEXsuZrDW3Nb",NA,NA,NA,NA,"anonymous","EN",10,10,10,1,"the way the questions are phrased ",0,2,3,4,NA,NA,1
"2022-04-20 15:52","2022-04-20 15:53",0,100,23,1,"2022-04-20 15:53","R_1Cr8nYWzODibY80",NA,NA,NA,NA,"anonymous","EN",4,1,1,2,"",0,2,3,4,NA,1,NA
"2022-04-20 15:53","2022-04-20 15:53",0,100,21,1,"2022-04-20 15:53","R_1GDpYsn64tj8EEE",NA,NA,NA,NA,"anonymous","EN",2,8,0,2,"",0,2,3,4,1,NA,NA
